Route,Cost
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Blockhouse Bay', 'Distribution Centre Auckland')",398.46625
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Greenlane', 'Distribution Centre Auckland')",364.35375
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Grey Lynn', 'Distribution Centre Auckland')",375.43375000000003
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Grey Lynn Central', 'Distribution Centre Auckland')",372.96
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Lynfield', 'Distribution Centre Auckland')",381.63624999999996
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Mt Eden', 'Distribution Centre Auckland')",362.000625
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Mt Roskill', 'Distribution Centre Auckland')",370.561875
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Newmarket', 'Distribution Centre Auckland')",367.46624999999995
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Onehunga', 'Distribution Centre Auckland')",358.52062499999994
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Ponsonby', 'Distribution Centre Auckland')",361.5275
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Pt Chevalier', 'Distribution Centre Auckland')",368.82875
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown St Lukes', 'Distribution Centre Auckland')",361.27812499999993
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Three Kings', 'Distribution Centre Auckland')",348.66875
"('Distribution Centre Auckland', 'Countdown Auckland City', 'Countdown Victoria Street West', 'Distribution Centre Auckland')",349.4225
"('Distribution Centre Auckland', 'Countdown Blockhouse Bay', 'Countdown Greenlane', 'Distribution Centre Auckland')",378.164375
"('Distribution Centre Auckland', 'Countdown Blockhouse Bay', 'Countdown Grey Lynn', 'Distribution Centre Auckland')",372.891875
"('Distribution Centre Auckland', 'Countdown Blockhouse Bay', 'Countdown Grey Lynn Central', 'Distribution Centre Auckland')",351.53375
"('Distribution Centre Auckland', 'Countdown Blockhouse Bay', 'Countdown Lynfield', 'Distribution Centre Auckland')",284.323125
"('Distribution Centre Auckland', 'Countdown Blockhouse Bay', 'Countdown Mt Eden', 'Distribution Centre Auckland')",344.305625
"('Distribution Centre Auckland', 'Countdown Blockhouse Bay', 'Countdown Mt Roskill', 'Distribution Centre Auckland')",302.7975
"('Distribution Centre Auckland', 'Countdown Blockhouse Bay', 'Countdown Newmarket', 'Distribution Centre Auckland')",381.276875
"('Distribution Centre Auckland', 'Countdown Blockhouse Bay', 'Countdown Onehunga', 'Distribution Centre Auckland')",293.231875
"('Distribution Centre Auckland', 'Countdown Blockhouse Bay', 'Countdown Ponsonby', 'Distribution Centre Auckland')",365.17562499999997
"('Distribution Centre Auckland', 'Countdown Blockhouse Bay', 'Countdown Pt Chevalier', 'Distribution Centre Auckland')",335.26125
"('Distribution Centre Auckland', 'Countdown Blockhouse Bay', 'Countdown St Lukes', 'Distribution Centre Auckland')",323.989375
"('Distribution Centre Auckland', 'Countdown Blockhouse Bay', 'Countdown Three Kings', 'Distribution Centre Auckland')",308.998125
"('Distribution Centre Auckland', 'Countdown Blockhouse Bay', 'Countdown Victoria Street West', 'Distribution Centre Auckland')",388.43
"('Distribution Centre Auckland', 'Countdown Greenlane', 'Countdown Grey Lynn', 'Distribution Centre Auckland')",345.3075
"('Distribution Centre Auckland', 'Countdown Greenlane', 'Countdown Grey Lynn Central', 'Distribution Centre Auckland')",333.64750000000004
"('Distribution Centre Auckland', 'Countdown Greenlane', 'Countdown Lynfield', 'Distribution Centre Auckland')",345.31
"('Distribution Centre Auckland', 'Countdown Greenlane', 'Countdown Mt Eden', 'Distribution Centre Auckland')",302.3075
"('Distribution Centre Auckland', 'Countdown Greenlane', 'Countdown Mt Roskill', 'Distribution Centre Auckland')",310.19125
"('Distribution Centre Auckland', 'Countdown Greenlane', 'Countdown Newmarket', 'Distribution Centre Auckland')",315.6875
"('Distribution Centre Auckland', 'Countdown Greenlane', 'Countdown Onehunga', 'Distribution Centre Auckland')",267.28
"('Distribution Centre Auckland', 'Countdown Greenlane', 'Countdown Ponsonby', 'Distribution Centre Auckland')",332.27625
"('Distribution Centre Auckland', 'Countdown Greenlane', 'Countdown Pt Chevalier', 'Distribution Centre Auckland')",332.503125
"('Distribution Centre Auckland', 'Countdown Greenlane', 'Countdown St Lukes', 'Distribution Centre Auckland')",324.9525
"('Distribution Centre Auckland', 'Countdown Greenlane', 'Countdown Three Kings', 'Distribution Centre Auckland')",283.940625
"('Distribution Centre Auckland', 'Countdown Greenlane', 'Countdown Victoria Street West', 'Distribution Centre Auckland')",338.868125
"('Distribution Centre Auckland', 'Countdown Grey Lynn', 'Countdown Grey Lynn Central', 'Distribution Centre Auckland')",320.61
"('Distribution Centre Auckland', 'Countdown Grey Lynn', 'Countdown Lynfield', 'Distribution Centre Auckland')",358.790625
"('Distribution Centre Auckland', 'Countdown Grey Lynn', 'Countdown Mt Eden', 'Distribution Centre Auckland')",336.12
"('Distribution Centre Auckland', 'Countdown Grey Lynn', 'Countdown Mt Roskill', 'Distribution Centre Auckland')",337.79125
"('Distribution Centre Auckland', 'Countdown Grey Lynn', 'Countdown Newmarket', 'Distribution Centre Auckland')",362.459375
"('Distribution Centre Auckland', 'Countdown Grey Lynn', 'Countdown Onehunga', 'Distribution Centre Auckland')",335.675
"('Distribution Centre Auckland', 'Countdown Grey Lynn', 'Countdown Ponsonby', 'Distribution Centre Auckland')",327.578125
"('Distribution Centre Auckland', 'Countdown Grey Lynn', 'Countdown Pt Chevalier', 'Distribution Centre Auckland')",338.42125
"('Distribution Centre Auckland', 'Countdown Grey Lynn', 'Countdown St Lukes', 'Distribution Centre Auckland')",332.38312499999995
"('Distribution Centre Auckland', 'Countdown Grey Lynn', 'Countdown Three Kings', 'Distribution Centre Auckland')",351.44124999999997
"('Distribution Centre Auckland', 'Countdown Grey Lynn', 'Countdown Victoria Street West', 'Distribution Centre Auckland')",360.70375
"('Distribution Centre Auckland', 'Countdown Grey Lynn Central', 'Countdown Lynfield', 'Distribution Centre Auckland')",337.431875
"('Distribution Centre Auckland', 'Countdown Grey Lynn Central', 'Countdown Mt Eden', 'Distribution Centre Auckland')",311.7375
"('Distribution Centre Auckland', 'Countdown Grey Lynn Central', 'Countdown Mt Roskill', 'Distribution Centre Auckland')",313.40875
"('Distribution Centre Auckland', 'Countdown Grey Lynn Central', 'Countdown Newmarket', 'Distribution Centre Auckland')",347.173125
"('Distribution Centre Auckland', 'Countdown Grey Lynn Central', 'Countdown Onehunga', 'Distribution Centre Auckland')",314.31624999999997
"('Distribution Centre Auckland', 'Countdown Grey Lynn Central', 'Countdown Ponsonby', 'Distribution Centre Auckland')",311.08875
"('Distribution Centre Auckland', 'Countdown Grey Lynn Central', 'Countdown Pt Chevalier', 'Distribution Centre Auckland')",319.604375
"('Distribution Centre Auckland', 'Countdown Grey Lynn Central', 'Countdown St Lukes', 'Distribution Centre Auckland')",308.0
"('Distribution Centre Auckland', 'Countdown Grey Lynn Central', 'Countdown Three Kings', 'Distribution Centre Auckland')",330.0825
"('Distribution Centre Auckland', 'Countdown Grey Lynn Central', 'Countdown Victoria Street West', 'Distribution Centre Auckland')",354.325625
"('Distribution Centre Auckland', 'Countdown Lynfield', 'Countdown Mt Eden', 'Distribution Centre Auckland')",324.87874999999997
"('Distribution Centre Auckland', 'Countdown Lynfield', 'Countdown Mt Roskill', 'Distribution Centre Auckland')",282.585625
